date,strategy,qqq_bh,tqqq_bh,spy_bh,gld_bh,blend_6040,spxl_strategy,spxl_bh
2010-04-26,80882.77588368727,63633.848557420344,83017.63298066295,62114.236760225904,58258.64150787438,59643.3007457285,87914.98066279935,78511.6668476486
2010-04-27,76608.73345356682,62283.14062052049,77893.96724969066,60645.19174601271,59230.048035791595,58832.7327577793,79425.32827815495,72929.70278101857
2010-04-28,76796.5821849736,62321.00087733042,78077.13059686484,61105.84504054866,59064.70215993001,59074.7694755409,81876.63711925395,74469.15306592389
2010-04-29,80196.8865585249,63406.62598742464,82062.30810775638,61863.4038602542,59049.20160002997,59537.896180051815,85209.59683311617,77277.78023080506
2010-04-30,76111.1157161149,62156.92127080978,77226.58303653533,60814.09864884201,59607.24540937154,59004.92552826522,79713.0450737346,73470.27191706681
2010-05-03,79417.84949847446,63527.934649672796,80880.54558296684,62102.36212952097,60298.42817983763,59935.23051310298,87836.62869648109,76743.62370294184
2010-05-04,73149.7093683404,61619.412450263444,73730.13199368308,60642.02942423387,59850.34485197352,59150.288592476616,78170.28425364243,71278.84104346072
2010-05-05,72048.60422274089,61301.31609683466,72518.56172585505,60280.81679599309,59964.9673991157,58916.17809674867,76259.90493747135,69776.60747797071
2010-05-06,65048.91983169203,59252.85677828247,65414.188139682665,58278.69141606168,61736.45916333213,57747.4748729699,64142.092759857005,62762.286424255144
2010-05-07,59888.93588154834,57776.929514241216,60653.84365131311,57411.78320970115,61621.83264107127,57127.41486109173,59460.93082515278,59651.37031958186
2010-05-10,72222.59201224685,61279.67789307975,70200.49816075538,60440.27686093002,61757.1155021673,59142.32508164428,67324.39364261468,68182.95493559523
2010-05-11,72190.73466491885,61215.53300742391,70154.15982283533,60268.54153561067,63380.23136850327,59124.772957748624,66869.51703770395,67765.92143517525
2010-05-12,75910.78774147839,62370.06201555605,73934.11952101672,61111.469091533596,63768.93710689568,59606.406612411134,70147.05034437128,70721.03059903359
2010-05-13,72003.19756248902,61382.29730626619,70591.85911638987,60351.80024525761,63327.70020832833,59183.475139951595,67228.0373386326,68242.5322279703
2010-05-14,66686.88074364203,60202.12613060634,66248.09900847921,59259.13364195952,63227.89982063864,58611.15106833786,62492.97025883019,64441.380235153025
2010-05-17,68185.22303692104,60894.538235095846,67643.42930830666,59790.356320247934,63197.36636187768,59112.36696483689,63179.35175650522,65060.52727369767
2010-05-18,65189.6412783913,60053.83067523665,65057.993765496205,58977.06818381495,63266.19581905163,58703.94946116225,59981.38189018091,62418.7256632702
2010-05-19,63452.82388743797,59575.250363009705,63340.938778587326,58641.2675738941,61751.91544502903,58513.51637885072,58741.36256959095,61205.8831090384
2010-05-20,55152.638881006846,57363.4721160586,56934.01106311942,56427.00818142899,61333.634806377035,57165.069231687834,49426.652420250764,54193.06650048278
2010-05-21,55650.56641737519,57997.24169898951,57375.018051620355,57250.777399577935,61005.36689113646,57758.812325234045,51732.1644651826,56366.577666746685
2010-05-24,56722.98220296298,58264.45495053512,58349.36458611587,57016.177506608736,62363.103355629006,57804.79938307589,49997.24140489262,54897.22469288834
2010-05-25,56442.35744132494,58316.63438337765,57938.18984360861,57074.41967997853,62640.65454704695,57868.72339301469,50185.909290702904,54994.18108997966
2010-05-26,54363.70233358613,57664.3111967955,56145.74396494985,56730.33438332196,63233.11504822652,57635.51539818647,49302.545117005546,54194.33973921717
2010-05-27,59871.81484808291,59843.043346122686,62224.05494998211,58630.709619155634,63350.540239043854,58720.00232699712,54341.33759311525,59623.46820166588
2010-05-28,59001.98488433456,59490.780568403134,61354.61450973923,57894.90299637869,63451.94957206245,58303.04252132915,52279.6540331755,57660.257529473856
2010-06-01,57936.03034060481,59442.83918352048,60156.630434371255,57420.89466907956,64501.7133356321,58257.55555309467,49309.90973180964,54863.997125713344
2010-06-02,61706.80643013417,60850.629644098844,64389.95322820954,58916.11774239959,64431.781408125586,59129.8706339971,53207.95665666911,59168.98957707167
2010-06-03,63232.1307885453,61429.524350705266,66061.46079482864,59119.013185742624,63452.77135891161,59240.328370335585,53913.22585139244,59963.93060732234
2010-06-04,55733.001409107186,59324.4395479456,59538.21681121426,57041.75419673615,64114.411935242155,58054.89003277821,47012.61371478593,53848.91619627558
2010-06-07,52524.0319512306,58745.54274660813,56586.384342926205,56831.53859542005,65851.62018205853,58198.65686280354,45081.94563931761,52000.75081733627
2010-06-08,52216.798470725225,58639.4185030937,56271.00395071757,57440.32922867637,65586.02504021686,58536.604291895004,46518.824405331965,53470.2488752852
2010-06-09,50928.75123957095,58148.42765673941,55030.00536235242,57133.2627673161,65347.52908038358,58366.03609680156,45756.0754726563,52704.6349715175
2010-06-10,55039.72474315213,59807.135118805156,59595.9248770638,58803.33704842755,64485.69817434435,59295.304536570315,49920.45095455634,57434.19266208977
2010-06-11,56482.99626772923,60377.76580606896,61152.30385763759,59088.86432013074,65049.41326597761,59480.28163959288,50693.76700517806,58236.874914883876
2010-06-14,57082.55946896437,60864.497359487556,61686.511576340796,59497.27202879295,65327.17764242649,59959.40699359838,51120.69303665169,58613.403685220735
2010-06-15,60731.598235067366,62496.84415493555,66192.8795326486,60850.0874372455,66086.41458397274,60771.09623866991,54328.55117022236,62561.63061716311
2010-06-16,61960.64140082635,62751.02691133346,67526.79447064165,60828.37123502372,65725.91559883447,60794.76945809625,54297.934037120394,62462.01007948498
2010-06-17,62614.213043203614,62951.702151063204,68204.14097041167,60926.160521595026,66583.4712031059,60910.77706697944,54519.51528685615,62636.3617956454
2010-06-18,62814.43582502292,63004.00414614471,68390.69833959587,60992.21627476176,67091.45026597248,60911.43208957069,54701.81192789005,62810.729287029535
2010-06-21,61744.41897291146,62967.81754736614,67093.63317026744,61317.51866529392,66258.68709731584,61359.35521121257,54600.559506528014,62575.88387273707
2010-06-22,60319.13630840469,62481.35803051774,65506.09389625017,60304.817323544514,66842.07481153507,60777.15374263124,51707.06405414712,59492.541597890304
2010-06-23,59567.797630648,62224.60134721054,64628.74518172802,60117.73052409704,66566.89129366301,60727.305702967715,51216.30684992467,58901.759682002354
2010-06-24,56555.69103810938,61278.789512238516,61495.0862422353,59121.50879281555,66759.52311534726,60108.78892929408,48393.215947207296,55947.87395599417
2010-06-25,56541.474172117494,61290.92936419311,61453.364820940216,59369.16582891009,67563.05848365759,60292.03754008418,49092.34310735329,56714.626612331165
2010-06-28,56580.61405246703,61574.320736202535,61403.05537564338,59682.062298893616,67143.94234274981,60726.03410954288,49029.49153228105,56523.30248226983
2010-06-29,49424.743658427404,59199.275117364705,54551.023501572265,57839.37335364411,67243.75182724823,59694.9858817059,43811.063776220566,51260.29108839646
2010-06-30,46784.74720387599,58298.35246884088,51855.068252906865,57289.91687045041,67471.09729823304,59367.638735863875,42226.45190203419,49586.26995229009
2010-07-01,46247.55500736382,58134.55704356798,51349.56132359734,57034.588521777514,64898.2352872408,59201.36150033459,41753.84834760147,49142.410800062724
2010-07-02,45980.45289990122,57970.761618295066,51068.6630947007,56723.757189116666,65702.25307924954,58979.79894787054,40972.0965306879,48343.44908405076
2010-07-06,46810.25870195204,58648.206662340715,51835.56395755348,57595.6423665615,65104.3529802372,59780.046202213445,42212.94640742192,49553.63816740658
2010-07-07,51051.718437721334,60520.541139024535,56733.9059956191,59409.68375180729,65786.07462346664,60835.47801709756,46358.70226111893,54319.38953315325
2010-07-08,51945.77784093521,60850.96693347105,57691.03303242684,59997.56012735521,65495.502646084446,61183.48772867643,47719.59740603457,55869.55149774651
2010-07-09,53473.48580955263,61429.19248412417,59307.493671694574,60445.472420979786,66138.10932272916,61414.559883384965,48965.89250295812,57201.89749893233
2010-07-12,54642.65518605725,62108.139217656855,60480.96097225525,60984.65169825929,66068.14350882419,61966.3358751294,49546.237218758244,57740.33418002621
2010-07-13,56448.68631334563,62913.13525907273,62546.7724782335,61904.83611160242,66642.45568502802,62454.34013053906,51917.577190993994,60505.88826345534
2010-07-14,57310.10047165699,63232.34577899437,63547.28744348779,61899.19607236804,66608.67413197651,62536.43509467382,51878.25525118134,60428.35566681475
2010-07-15,57549.542127474175,63287.86065202422,63769.07666596754,61916.127630313036,66569.26088817598,62582.19603350395,52074.08107953195,60557.5848358793
